,Title,Location,Price,description,Links
11,Nov❤ still Den in new apartment @ morley King West LT or weekly,City of Toronto,"$1,100.00",direct quiet Den condominium @ King occident WEEKLY ❤ stock Room in a stock condominiumminium Apt with secret toilet - ✔King and newcastle RENT: $1100 all comprehensive for the period ╚►►►► To plan a ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/nov-still-den-in-new-apartment-morley-king-west-lt-or-weekly/1533341635
12,Nov ❤ massive stock room on down grade @ hines,City of Toronto,$800.00,Nov ❤ massive stock bedroom on down grade @ hines - year to year or long term lease MONTHLY stock lease massive stock bedroom on down grade with lots of warehome in a 4-bed home place at ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/nov-massive-stock-room-on-down-grade-hines/1533341623
13,Room in Luxury Home,City of Toronto,$750.00,Furnished Room on upper floor in Luxury Home. Share large gourmet kitchen with landlord and housemates. Share bathroom with one Hardwood floors. Large windows. Minutes to TTC. Take Steeles 60 to York ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-in-luxury-home/1533340486
14,"House room, Bathurst and Finch, Nonsmoking Male, from Nov. 15",City of Toronto,$650.00,"House room, Bathurst and Finch, Nonsmoking Male, from Nov. 15 Available from Nov.15 = Unavailable before Nov.14. A spacious and warm basement room furnished with window, newly renovated floor, ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/house-room-bathurst-and-finch-nonsmoking-male-from-nov-15/1533340414
15,Furnished Room in Luxury House,City of Toronto,$650.00,Furnished Room on upper floor in Luxury Home. Share large gourmet kitchen with landlord and housemates. Share bathroom Hardwood floors. Large windows. Minutes to TTC. Take Steeles 60 to York ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-in-luxury-house/1533340209
16,All Inclusive Furnished Bedroom Beside CN TOWER In Luxury Condo!,City of Toronto,"$1,150.00","Beside CN Tower brand new second bedroom nicely furnished in a 3 bedrooms condo apartment available now. With queen size bed, high quality mattress, nice beddings, towels, all kitchen tools etc., ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/all-inclusive-furnished-bedroom-beside-cn-tower-in-luxury-condo/1533339646
17,In the heart of DT next to CN Tower DLX Bedroom with Bathroom,City of Toronto,"$1,599.00","Fully furnished DLX Room with separate full wash room. In-suit Laundry. Room with a view of Toronto Island, path to Union Subway station, fully furnished all utilities included 24 hr security ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/in-the-heart-of-dt-next-to-cn-tower-dlx-bedroom-with-bathroom/1533339498
18,Rooms for Students and professionals on Marlee ave,City of Toronto,PleaseContact,I have 3 furnished rooms available for rent on Marlee Avenue.Excellent for students and professionals.One room at 2nd floor and two rooms at the basement apartment.Basement can be rent ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/rooms-for-students-and-professionals-on-marlee-ave/1533339067
19,Indian roommate wanted - walk to Subway train - close 2 downtown,City of Toronto,PleaseContact,THIS IS FOR FEMALE ONLY (NO COUPLES) I have one furnished upper-level room for rent in sharing with another indian girl. Rent $500 Location - Bloor / islington . less than minute walk to islington ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/indian-roommate-wanted-walk-to-subway-train-close-2-downtown/1533339047
20,"One Bed All Inclusive Basement Apt, St.Clair-Midland,$1000",City of Toronto,"$1,000.00",$1000 ALL INCLUSIVE BASEMENT APARTMENT FOR RENT NEAR MIDLAND AND ST.CLAIR AVE One Large Bedroom With Two Single Bed & Ensuite Bathroom with Stand-Shower in Exclusive Lower Level. Kitchen is shared ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/one-bed-all-inclusive-basement-apt-st-clair-midland-1000/1533338752
21,Toronto down town rent room,Kawartha Lakes,$990.00,Toronto waterfront condo roommates,https://www.kijiji.ca/v-room-rental-roommate/kawartha-lakes/toronto-down-town-rent-room/1533338719
22,"Finch/Warden - Clean, quiet, bright 2nd floor room.",City of Toronto,$575.00,"Lovely furnished private bedroom, on 2nd floor w/ large closet & shelving, south facing large window – bright & sunny! Share with two others, a 3 bedroom townhouse - living rm., kitchen, laundry, ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/finch-warden-clean-quiet-bright-2nd-floor-room/1533338045
23,Looking for Roommate in DT Toronto!!,City of Toronto,"$1,599.00","Fully furnished Room with separate full wash room. In-suit Laundry. Room with a view of Toronto Island, path to Union Subway station, fully furnished all utilities included 24 hr security concierge. ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/looking-for-roommate-in-dt-toronto/1533337419
24,"Female only, Large Rm Birchmount/St Clair avail Dec 1st",City of Toronto,$780.00,Two Bedroom basement apartment One Large room available for FEMALE ONLY price $780 per month include utilities and Wi-Fi internet. Shared kitchen and washroom with one female working professional. ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/female-only-large-rm-birchmount-st-clair-avail-dec-1st/1533337100
25,"nice room @ 16th & Yonge, heart of Richmond Hill",Markham / York Region,$900.00,"One first floor very big room available on Dec. 1, 2020. Detached house located at 16th and Yonge, heart of Richmond Hill. Walk to Hillcresent Mall and supermarket nofrills 5 mins drive to go station ...",https://www.kijiji.ca/v-room-rental-roommate/markham-york-region/nice-room-16th-yonge-heart-of-richmond-hill/1533336793
26,A room for rent at Oakwood av and Rogers rd,City of Toronto,$700.00,"A room for rent at Oakwood ave and Hanson road. It's close to the bus and subway station. Conveniently located by resturants and convenience stores. Looking for male tenants, doesn't like cook, non ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/a-room-for-rent-at-oakwood-av-and-rogers-rd/1533336533
27,Room for rent (short or long term) close to Lansdowne station,City of Toronto,$850.00,"I have one rooms at 2nd floor available for rent For single occupancy only. It is available on IMMEDIATELY We are looking for someone clean, responsible, quite, Non 420, and with no pet. First & Last ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-short-or-long-term-close-to-lansdowne-station/1533335921
28,Downtown core room for rent,City of Toronto,$800.00,"Rooms for rent located at College/Jarvis (M4Y 2K1), which is steps to ttc/subway, shopping, walking distance to Ryerson/UT. The house is updated with 4 beds 2 baths and kitchen in L2 unit. Bright and ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/downtown-core-room-for-rent/1533335807
29,Room for rent (daily or Long term) close to Lansdowne station,City of Toronto,$35.00,"I have one rooms at 2nd floor available for rent For single occupancy only. It is available on IMMEDIATELY We are looking for someone clean, responsible, quite, Non 420, and with no pet. Daily stay ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-daily-or-long-term-close-to-lansdowne-station/1533335783
30,Amazing location - Highpark - Sublet Available,City of Toronto,$825.00,"Hello Everyone, My room is available for sublet immediately for the month of November & December with possible extensions. The room is fully furnished with a private Roof all to yourself. The house ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/amazing-location-highpark-sublet-available/1533335741
31,Beautiful Basement  apartment  for rent!,City of Toronto,"$1,100.00",Ideal for a Couple or Single person -Huge bedroom -Own personal washroom -Onsite laundry -Shared Kitchen -Personal Refrigerator -Free Parking -Utilities included -Huge recreational backyard space ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/beautiful-basement-apartment-for-rent/1533335495
32,Bright Single Bedroom in a Quiet and Clean house,City of Toronto,$600.00,Unit Details: Room Only Central AC | Heating Shared Kitchen | Laundry | Washroom Parking not available Furnished (Availability from immediately ) Bright bedroom in a quiet and clean house In a ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/bright-single-bedroom-in-a-quiet-and-clean-house/1533335262
33,Room for rent (only for female),City of Toronto,$375.00,"Room for rent available right away or from 1 December Location: M6S 3E4 Toronto 10 min to runnymade station, near to kipling station Direct connection to ttc and streets car Near to high park and ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-only-for-female/1533335213
34,One large basement room in downtown town house for rent,City of Toronto,$700.00,"Clean, quiet and bright furnished large bedroom for rent. Close to major intersections and shopping areas. Basement room with ground level windows. Includes water, hydro, heating and internet. Coin ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/one-large-basement-room-in-downtown-town-house-for-rent/1533333995
35,Two beautiful rooms for rent in the Neilson and Sheppard area !,City of Toronto,$650.00,Ideal for two roommates.. - washroom will be shared with roommate. - Shared Kitchen / separate refrigerator -laundry Onsite -Free Parking -Utilities included -huge recreational backyard space first ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/two-beautiful-rooms-for-rent-in-the-neilson-and-sheppard-area/1533333874
36,"Room for rent Kennedy &,finch",City of Toronto,$600.00,"Two rooms available In a large 4 bed room house.large kitchen 3 wash rooms,large living room with furnished.all utilities included. Available immediately rent is negotiable.",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-kennedy-finch/1533333517
37,"Room with private washroom and shared kitchen, 19th floor, Dtown",City of Toronto,"$1,300.00","I have a room with its private washroom and shared kitchen on the 19th floor for rent in November 1 in downtown Toronto. The kitchen will be shared with us if you cook. I am a student, so I am ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-with-private-washroom-and-shared-kitchen-19th-floor-dtown/1533333500
38,Room for rent,City of Toronto,$500.00,Private room available for rent Preferred -Punjabi Male Rent-500 Markham & Ellesmere intersection Parking available free of cost Availability- 1st Dec,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1533333488
39,"Big, Furnished, Basement Room with Private Kitchen - for male",City of Toronto,$650.00,"Private, spacious, fully furnished room in basement of house near Bathurst and Sheppard starting December 1st. Room includes lock with key, bed, table, chairs, dresser, shelving unit, mini closet, 2 ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/big-furnished-basement-room-with-private-kitchen-for-male/1533333418
40,Furnished room for rent in condo 3 minutes to subway female only,City of Toronto,PleaseContact,"Furnished room for rent in Scarborough condo at Midland/Eglinton. Kitchen and bathroom shared with two females. TTC at door. Close to subway, 3 minutes to Kennedy Station. 5 bus lines. Wifi ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-for-rent-in-condo-3-minutes-to-subway-female-only/1533333319
41,Room with shared kitchen and washroom in a two bedroom apartment,City of Toronto,$940.00,"Hi there, I have a room and shared kitchen and bathroom on the 9th floor for rent in November 1st in downtown Toronto. The kitchen will be shared with us if you cook. I am a student, so I am looking ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-with-shared-kitchen-and-washroom-in-a-two-bedroom-apartment/1533333163
42,"House room, Bathurst and Finch, Nonsmoking Male, from Nov. 15",City of Toronto,$650.00,"House room, Bathurst and Finch, Nonsmoking Male, from Nov. 15 Available from Nov.15 = Unavailable before Nov.14. A spacious and warm basement room furnished with window, newly renovated floor, ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/house-room-bathurst-and-finch-nonsmoking-male-from-nov-15/1533333126
43,Three bedroom full bungalow house for rent immediately,City of Toronto,"$2,500.00",I am offering three bedroom nice ditch bungalow home for rent. It’s Very beautiful big backyard and My House is located Mccowan rd and Lawrence ave east . The bus stop is right in front of my house ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/three-bedroom-full-bungalow-house-for-rent-immediately/1533333107
44,"Curtain Room with a Balcony view on the 19th floor, Downtown tor",City of Toronto,$915.00,"Hi there, I am looking for a female or a male to take my curtain room in my two bedroom apartment. The curtain room is spacious and private.The two bedrooms will have one person in each. So, we will ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/curtain-room-with-a-balcony-view-on-the-19th-floor-downtown-tor/1533332759
45,York University Room for Rent,City of Toronto,$650.00,"Available immediately, Rooms from $650-800 Very close to Finch West subway station Everything is included: -all utilities -free wifi internet with unlimited download -free laundry -furnished with ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/york-university-room-for-rent/1520503095
46,ROOM FOR RENT IN 3 BEDROOM HOUSE,City of Toronto,$800.00,"Hi Everyone, Room in 3 bedroom 2 story house available at St. Claire W and Weston (Stockyards) location to SUBLET until May 2021 for Dec 1st move in date or earlier if needed, option to renew after. ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-in-3-bedroom-house/1531929690
47,Beautiful Furnished Room in Friendly Home with Sauna,City of Toronto,$875.00,"Welcome to our home! We are a couple of health-conscious, wellness-obsessed, biohackers and this is our co-living home! We are located between Sheppard Station (20 minute walk) and Bayview Village ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/beautiful-furnished-room-in-friendly-home-with-sauna/1532124045
48,Basement for rent,City of Toronto,PleaseContact,Very spacious one bedroom basement apartment with separate entrance located in Wilson Heights and Sheppard is for rent. Minutes to bust stop and Wilson subway station. Minutes to Yorkdale mall and ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-for-rent/1532484721
49,Basement for Rent Available Oct 1st,Markham / York Region,PleaseContact,"2 bedroom apartment for rent full kitchen and bath. 1 parking spot available. Suitable for a single or couple and small family. Walking distance to ttc, grocery store, schools, Gurdwara. Ideally ...",https://www.kijiji.ca/v-room-rental-roommate/markham-york-region/basement-for-rent-available-oct-1st/1527263543
50,Room for rent,City of Toronto,$650.00,"Single room for rent in a townhouse on top floor. 5 minutes walk to tim hortons, shoppers drug mart and food basics. Close to TTC & YRT bus stops and seneca college. Indian working professional or ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1533332570
51,Two bedrooms in basement available for rent in Scarborough,City of Toronto,"$1,250.00","Two Newly furnished bedrooms in the basement available for rent in an excellent location in the centre of Scarborough, READY To MOVE IN Nicely maintained bright rooms with a huge dining area and ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/two-bedrooms-in-basement-available-for-rent-in-scarborough/1533332507
52,"""YORK UNIVERSITY - Ensuite Bathroom - Student Resident Room $760",City of Toronto,$760.00,"Hard wood floor, Clean, Quiet, Bright rooms with big windows. Cleaned by housekeeper, garbage removed regularly and well maintained. Spacious back yard deck and rooftop sundeck with campus views. ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/york-university-ensuite-bathroom-student-resident-room-760/1533332340
53,One individual room for rent immediately,City of Toronto,$650.00,I am offering three bedroom nice ditch bungalow home for rent. It’s Very beautiful big backyard and My House is located Victoria park and st Clair ave east . It is 10 minute away from Victoria park ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/one-individual-room-for-rent-immediately/1533332294
54,One individual room for rent immediately,City of Toronto,$750.00,I am offering three bedroom nice ditch bungalow home for rent. It’s Very beautiful big backyard and My House is located Victoria park and st Clair ave east . It is 10 minute away from Victoria park ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/one-individual-room-for-rent-immediately/1533332202
55,"Curtain Room for rent in a two bedroom apartment, Downtown T",City of Toronto,$880.00,"Hi there, I am looking for a female or a male to take my curtain room in my two bedroom apartment. The curtain room is spacious and private.The two bedrooms will have one person in each. So, we will ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/curtain-room-for-rent-in-a-two-bedroom-apartment-downtown-t/1533332138
56,Room for rent near stc + centennial college + students welcome,City of Toronto,$750.00,"A private room is available for rent immediately for $750+Utilities Male, Punjabi, non-smoker, students or working professionals are encouraged . A Max of 2 students in the room will be accepted. The ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-near-stc-centennial-college-students-welcome/1533332031
57,Furnished rooms steps to Lansdowne subway station,City of Toronto,$560.00,"Two furnished rooms in the house are available. First room is in the basement, available from November 22 or December 1st and costs 560 dollars a month. The second room is located upstairs, available ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-rooms-steps-to-lansdowne-subway-station/1533332014
58,Room for rent near York University and Subway,City of Toronto,$850.00,Upstairs room with shared living space easy access to public transportation,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-near-york-university-and-subway/1533331543
59,Living area space ( Not Room ) for rent in a two bedroom apartme,City of Toronto,$650.00,"Hi there, I am looking for a female or a male to take my LIVING AREA space in my two-bedroom apartment that is available for rent in November. The living area is spacious and good for two people. The ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/living-area-space-not-room-for-rent-in-a-two-bedroom-apartme/1533331542
60,Shared room for rent near Centennial college.  Only for girls,City of Toronto,$330.00,"Shared accommodation in the house. Only with girls, sharing with another Indian student girl. Single beds for two girls. Separate closets available. Rent: $330 including utilities. Very near to ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/shared-room-for-rent-near-centennial-college-only-for-girls/1533331404
61,Room for rent near stc + centennial college + available now,City of Toronto,$375.00,"A private room is available for rent immediately for $750+Utilities Male, Punjabi, non-smoker, students or working professionals are encouraged . A Max of 2 students in the room will be accepted. The ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-near-stc-centennial-college-available-now/1533331042
62,Room for rent near stc + centennial college + students welcome,City of Toronto,$650.00,"A private room is available for rent immediately for $650+Utilities Male, Punjabi, non-smoker, students or working professionals are encouraged . A Max of 2 students in the room will be accepted and ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-near-stc-centennial-college-students-welcome/1533330688
63,Room for rent Expo Condo Vaughan subway female only,City of Toronto,"$1,500.00",Available Dec. 1st Executive condo. Furnished Bedroom and private bathroom for rent. Vaughan Subway Station which brings you directly into downtown Toronto is only a 5 minute walk away! Only 3 subway ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-expo-condo-vaughan-subway-female-only/1533330383
64,Bright Queen room north of High Park / Junction / Stockyards,City of Toronto,$850.00,"Move in date either November 1st, 2020 or December 1st, 2020. 2 Spacious bedrooms for Rent in Sunny 3 Bedroom Home ((main floor near St Clair West and Weston Rd (Junction)) Preference given for long ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/bright-queen-room-north-of-high-park-junction-stockyards/1533330377
65,Newly done three room basement for rent,City of Toronto,"$1,600.00","Renovated basement, with three rooms. The unit has two washrooms a kitchen and separate entrance. All the utilities and unlimited Wi-Fi included. Great for a family or individuals/students. Close to ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/newly-done-three-room-basement-for-rent/1533330357
66,Room Available For Rent Near Seneca College (Newnham Campus),Markham / York Region,$550.00,1 bedroom available for rent ASAP. Main Intersection is 404 and Finch Ave. Walking Distance to Seneca College (Newnham Campus) and Lambton College. 5 minutes walk to Fairview Mall. TTC Bus stops on ...,https://www.kijiji.ca/v-room-rental-roommate/markham-york-region/room-available-for-rent-near-seneca-college-newnham-campus/1533329921
67,Room for rent,City of Toronto,"$1,050.00","Major intersection: Eglinton and Brentcliffe Bus stop: 2 mins walk Major Grocery stores within 5 mins walk. Next to Staples, Home Sense, Marshals and Tim Hortons. Sobeys, Sportchek, and all major ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1533329781
68,Room for rent in basement,Mississauga / Peel Region,$700.00,"One room is Available for rent in basement Rent 700 C$ including everything Two Boys/ two girls or couple can share the room 4152 Brandon gate dr, Mississauga Text me first 7059770696 Available now ...",https://www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/room-for-rent-in-basement/1533329426
69,Room for rent,Mississauga / Peel Region,$600.00,Professional females welcome,https://www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/room-for-rent/1533329091
70,Sheppard/brimley basement suite bedroom with private washroom,City of Toronto,$650.00,"Agincourt area Clean suite bedroom with private washroom in the basement, separated entrances,the room comes a very big cold room as storage room, but no windows, please think about it first, share ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/sheppard-brimley-basement-suite-bedroom-with-private-washroom/1533328759
71,Roommate (MALE Student) needed for a Sharing room - Dec 1,City of Toronto,$390.00,"A Student Male roommate is needed for a sharing room for $390/ month (sharing room with an Indian Bengali Student). • ALL Utilities (Electricity, Water, Gas, Garbage, Laundry) and High speed WIFI ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/roommate-male-student-needed-for-a-sharing-room-dec-1/1533328398
72,FURNISHED ROOM,City of Toronto,$580.00,FURNISHED ROOM VERY WELL LOCATED AVAILABLE NOW FREE WIFI ALL UTILITIES INCLUDED PAID LAUNDRY ON SITE $ 580 CLEAN AND FRIENDLY HOUSE PLEASE SEND A TEXT MESSAGE TO GLAUCIA,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room/1533328212
73,BASEMENT ROOM FOR RENT,City of Toronto,$400.00,"Basement one bedroom available for rent, only indian girls as already two girls are living in one bedroom. Bus stop at the door step. Major intersection Markham & Lawrence Washroom and kitchen will ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-room-for-rent/1533327976
74,New Room for rent,City of Toronto,$600.00,"Newly done room with private washroom and a sharing new kitchen. The room has window and a high roof. All the utilities and unlimited Wi-Fi included. Great neighbourhood, Close to the subway, five ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/new-room-for-rent/1533327968
75,Furnished basement room for rent Kennedy & Eglinton from Nov,City of Toronto,$600.00,Furnished basement room for rent Kennedy & Eglinton from November 01 - Immediate occupancy available - Suitable for male - Suitable for student & working individual - 2 people use 1 washroom - ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-basement-room-for-rent-kennedy-eglinton-from-nov/1533327955
76,Basement for rent,City of Toronto,PleaseContact,"Basement for rent near Scarborough town centre, 3 bedroom basement available immediately!",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-for-rent/1533327908
77,"<<for Lady>> Luxury Master Room and 1 more,,near Finch Subway",City of Toronto,$770.00,"specious Master room and another Big room,,... 5 min.on foot Finch subway, .....Both Luxury and clean..... Fully furnished...furniture, bedding, kitchenware etc.......Fridge in each rooms ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/for-lady-luxury-master-room-and-1-more-near-finch-subway/1533327827
78,Room For Rent- King Size Room Available All Included,City of Toronto,$700.00,2 King Size Room available now. Tenants can move in any time. Very close to UfT and Centennial College. Max 2 person can stay in one room but 1 person will get priority. All utilities included with ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-king-size-room-available-all-included/1533327759
79,Room for rent with private full washroom,City of Toronto,"$1,100.00",Available Immediately Utilities included Shared kitchen Couples welcome First and last month rent required Serious enquires only,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-with-private-full-washroom/1533327671
80,Room for rent,City of Toronto,$500.00,Main room available for rent for 1 person. Only for guys( student or working).,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1533327455
81,3 Rooms for Rent Top floor,City of Toronto,PleaseContact,3 rooms for rent top floor with utilities and parking. Located in north York milvan and Finch intersection. Please contact for rent and other details.,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/3-rooms-for-rent-top-floor/1533327092
82,Furnished Private Room College Subway Eaton Center Loblaws Metro,City of Toronto,"$1,235.00",Looking for a tenant for a Private Room in a Fully Furnished 2 Bedroom Townhouse in a Top downtown Toronto neighborhood . Other tenant is a working female. Two bedrooms in the house and a separate ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-private-room-college-subway-eaton-center-loblaws-metro/1533326907
83,NOVEMBER 1ST ROOM FOR RENT AVAILABLE AT EGLINTON AND CALEDONIA,City of Toronto,$700.00,"- Rent is $700 Firm - Room available in the BASEMENT - MONTH TO MONTH -STREET PARKING ONLY AVAILABLE - ROOM FOR 1 (ONE) PERSON(A) ONLY - Fully furnished room with a SINGLE bed, sheets and a pillow, ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/november-1st-room-for-rent-available-at-eglinton-and-caledonia/1533326821
